trial,sign_count,stouffer_Z,inerts_q4,inerts_q6,inerts_q8,inerts_q12
407,4,5.154513,538,556,539,530
408,4,2.972541,526,522,522,524
409,2,-0.347851,500,480,503,506
410,1,-1.201666,475,510,478,499
411,4,2.719559,530,520,515,521
412,0,-2.466577,482,467,487,486
413,1,-1.075174,494,501,488,483
414,3,0.411096,506,503,512,492
415,2,0.411096,499,480,522,512
416,4,1.359779,507,518,508,510
417,4,1.992235,510,513,519,521
418,2,0.221359,503,500,506,498
419,3,0.600833,504,509,497,509
420,4,3.573374,526,531,524,532
421,1,-0.569210,499,507,489,487
422,4,2.593068,520,515,528,519
423,1,-0.031623,517,492,493,497
424,3,0.347851,491,503,505,512
425,3,0.853815,497,505,520,505
426,2,0.505964,497,512,509,498
427,2,-0.316228,509,517,478,486
428,1,-1.264911,492,469,514,485
429,3,0.221359,507,484,512,504
430,3,0.189737,505,505,492,504
431,4,1.581139,506,509,527,508
432,4,2.782804,532,521,522,513
433,2,0.000000,493,503,499,505
434,2,1.928989,500,534,499,528
435,0,-1.517893,487,483,492,490
436,2,-0.727324,469,498,508,502
437,0,-2.276840,495,481,489,463
438,1,-0.474342,494,499,506,486
439,3,0.632456,514,507,506,493
440,4,1.359779,510,507,516,510
441,4,2.308463,508,524,520,521
442,4,2.466577,529,513,505,531
443,2,0.411096,502,493,519,499
444,4,2.340085,518,510,522,524
445,4,0.948683,513,509,506,502
446,1,-1.644384,485,504,475,484
447,1,-1.486271,484,507,473,489
448,4,2.814427,513,530,524,522
449,1,-0.600833,504,498,494,485
450,3,1.075174,515,477,529,513
451,1,-0.569210,487,490,507,498
452,3,1.612762,500,513,513,525
453,0,-1.644384,484,488,486,490
454,0,-0.853815,490,488,497,498
455,4,0.917061,516,502,507,504
456,0,-2.118726,490,462,500,481
457,4,1.992235,524,521,505,513
458,2,0.632456,525,490,517,488
459,3,0.790569,509,513,503,500
460,4,1.106797,505,505,514,511
461,0,-2.308463,485,486,477,479
462,3,0.474342,509,515,490,501
463,0,-1.802498,482,482,492,487
464,1,-0.569210,485,497,488,512
465,2,0.632456,495,520,491,514
466,3,0.917061,515,499,504,511
467,3,0.379473,515,519,504,474
468,2,-0.411096,505,494,480,508
469,4,1.391402,511,509,508,516
470,4,2.529822,514,520,536,510
471,4,0.822192,515,502,504,505
472,1,-0.094868,493,527,484,493
473,2,1.264911,528,522,497,493
474,4,1.644384,512,519,507,514
475,1,-0.822192,499,491,503,481
476,3,0.505964,479,505,502,530
477,0,-0.758947,498,500,498,480
478,0,-3.320392,481,485,465,464
479,3,2.276840,522,524,498,528
480,0,-2.498199,485,471,491,474
481,4,1.201666,513,503,513,509
482,2,0.474342,514,500,513,488
483,2,0.031623,497,511,502,491
484,3,3.288769,535,543,499,527
485,2,-0.094868,499,505,502,491
486,1,0.031623,500,496,499,506
487,3,1.233288,514,498,513,514
488,2,-0.379473,505,500,479,504
489,0,-1.897367,494,475,481,490
490,2,-0.221359,496,482,514,501
491,0,-0.948683,497,498,485,490
492,1,-1.581139,488,506,474,482
493,1,-0.189737,490,497,513,494
494,1,-0.379473,500,483,513,492
495,3,1.644384,522,496,516,518
496,2,-0.094868,499,513,502,483
497,1,-1.106797,485,483,501,496
498,3,0.885438,490,513,505,520
499,1,-1.138420,474,496,485,509
500,2,-1.739253,501,501,474,469
501,1,-1.075174,490,511,479,486
502,1,-0.094868,492,492,517,496
503,3,2.150349,535,529,510,494
504,4,2.340085,513,509,529,523
505,3,1.454648,509,490,520,527
506,2,-0.664078,491,502,481,505
507,2,-1.011929,508,491,503,466
508,1,-0.822192,495,488,501,490
509,2,-0.474342,507,494,505,479
510,3,0.948683,512,495,513,510
511,3,0.980306,514,513,487,517
512,2,-0.063246,508,490,491,509
513,3,0.063246,477,504,513,508
514,3,1.106797,518,498,507,512
515,0,-1.517893,487,492,485,488
516,4,3.794733,544,523,530,523
517,4,2.846050,543,520,517,510
518,1,-0.758947,498,489,480,509
519,1,-1.201666,480,506,494,482
520,2,0.221359,493,492,512,510
521,2,1.486271,519,531,497,500
522,4,1.170043,503,502,516,516
523,4,2.561445,537,520,509,515
524,2,0.853815,498,496,517,516
525,1,-0.758947,479,503,496,498
526,0,-1.960612,474,493,496,475
527,2,-0.442719,477,507,494,508
528,1,-0.284605,519,490,491,491
529,0,-4.806662,456,463,470,459
530,4,0.948683,510,508,510,502
531,0,-1.897367,493,479,488,480
532,0,-2.498199,488,474,486,473
533,3,0.664078,498,509,511,503
534,3,0.537587,504,482,520,511
535,2,0.695701,494,497,519,512
536,0,-1.170043,489,494,490,490
537,0,-1.676007,480,489,495,483
538,3,0.885438,511,515,500,502
539,2,0.379473,492,504,517,499
540,2,0.727324,498,495,517,513
541,1,-2.751182,476,464,503,470
542,4,2.719559,535,508,525,518
543,2,-0.537587,489,501,487,506
544,0,-1.359779,491,483,500,483
545,4,1.264911,519,506,504,511
546,0,-2.213594,482,479,494,475
547,4,1.644384,507,533,506,506
548,4,2.308463,530,504,530,509
549,1,-1.106797,488,506,491,480
550,1,-0.379473,498,490,495,505
551,2,0.316228,498,492,513,507
552,3,0.695701,503,513,508,498
553,1,-0.727324,487,513,484,493
554,0,-1.865744,476,484,495,486
555,0,-2.434954,482,481,475,485
556,4,1.707630,518,504,505,527
557,3,0.442719,506,513,494,501
558,2,0.758947,497,492,523,512
559,3,0.790569,497,518,502,508
560,0,-1.676007,492,480,478,497
561,1,-0.600833,482,487,497,515
562,1,-0.632456,513,493,486,488
563,4,1.075174,510,512,509,503
564,1,-0.727324,500,480,511,486
565,4,3.857979,534,517,535,536
566,1,-0.758947,473,498,499,506
567,3,0.664078,508,502,513,498
568,2,-0.094868,509,485,506,497
569,0,-0.537587,495,499,496,493
570,1,-0.727324,495,475,500,507
571,1,-0.569210,495,493,489,505
572,3,0.980306,497,517,509,508
573,4,2.055480,525,513,511,516
574,4,2.023858,520,512,522,510
575,3,0.758947,513,509,502,500
576,3,1.865744,512,493,518,536
577,1,-0.917061,477,489,507,498
578,4,1.676007,511,519,513,510
579,3,1.454648,527,507,516,496
580,0,-3.320392,463,485,479,468
581,1,-1.011929,490,486,514,478
582,3,0.189737,484,506,507,509
583,3,0.158114,511,501,485,508
584,1,-0.980306,487,507,482,493
585,2,0.664078,526,497,504,494
586,1,-0.158114,492,475,529,499
587,3,0.948683,521,506,507,496
588,0,-0.758947,496,493,489,498
589,2,-0.000000,502,513,495,490
590,2,0.094868,509,503,495,496
591,3,0.569210,509,510,495,504
592,3,1.834121,499,520,519,520
593,2,1.201666,515,491,532,500
594,2,0.252982,497,496,511,504
595,4,2.940918,520,518,526,529
596,3,1.359779,516,518,509,500
597,2,-0.252982,502,481,500,509
598,3,0.980306,502,524,495,510
599,1,-0.442719,490,491,496,509
600,2,-0.252982,514,501,490,487
601,3,0.221359,507,481,516,503
602,3,1.517893,518,498,518,514
603,1,-0.853815,484,489,517,483
604,2,0.632456,521,497,502,500
605,3,0.758947,495,507,509,513
606,1,-0.632456,501,488,496,495
607,0,-1.264911,490,491,487,492
608,4,2.118726,514,501,525,527
609,2,0.063246,506,497,517,482
610,0,-1.201666,492,494,495,481
611,3,1.549516,524,483,521,521
612,1,-0.505964,480,499,505,500
613,1,-1.264911,484,493,503,480
614,1,-0.189737,500,523,492,479
615,2,-0.347851,498,487,503,501
616,3,0.600833,508,508,509,494
617,3,1.011929,518,515,502,497
618,3,0.221359,504,510,502,491
619,2,-0.758947,502,492,505,477
620,4,2.276840,528,521,515,508
621,4,0.664078,501,507,509,504
622,4,1.075174,504,506,522,502
623,1,-0.252982,491,503,499,499
624,4,2.972541,521,538,528,507
625,2,-0.347851,500,507,474,508
626,2,0.158114,501,494,514,496
627,4,1.992235,524,504,507,528
628,2,0.316228,523,492,504,491
629,2,0.505964,514,494,514,494
630,2,0.790569,496,514,500,515
631,3,0.474342,494,509,507,505
632,4,1.138420,508,503,516,509
633,2,-0.853815,502,509,481,481
634,2,-0.758947,502,505,485,484
635,0,-1.264911,492,493,497,478
636,2,0.727324,513,500,500,510
637,0,-0.853815,492,497,496,488
638,3,1.423025,538,501,499,507
639,1,-0.664078,477,495,495,512
640,1,-1.581139,490,503,475,482
641,2,0.189737,512,502,492,500
642,1,-1.170043,500,483,505,475
643,3,0.252982,491,513,501,503
644,0,-1.739253,499,492,483,471
645,3,0.411096,512,516,478,507
646,2,-0.316228,493,488,504,505
647,4,3.004164,532,528,523,512
648,3,0.727324,519,500,502,502
649,4,2.561445,519,520,519,523
650,0,-2.150349,497,475,487,473
651,4,0.664078,506,501,504,510
652,1,-0.885438,483,491,486,512
653,1,-0.094868,514,495,500,488
654,0,-3.826356,473,470,460,476
655,0,-1.739253,481,489,489,486
656,3,0.158114,489,503,501,512
657,4,2.245217,522,502,510,537
658,3,1.612762,516,512,491,532
659,0,-3.320392,476,475,462,482
660,1,-1.423025,484,505,484,482
661,3,0.537587,494,503,512,508
662,0,-3.731488,462,476,469,475
663,2,-0.822192,487,475,504,508
664,0,-0.727324,494,491,496,496
665,3,0.948683,512,520,495,503
666,2,0.284605,490,517,498,504
667,4,1.739253,514,513,504,524
668,3,0.948683,508,509,515,498
669,3,0.790569,506,498,513,508
670,3,0.948683,507,496,507,520
671,3,1.739253,508,519,497,531
672,1,-1.517893,477,477,514,484
673,4,1.676007,503,503,534,513
674,1,-1.454648,489,496,467,502
675,2,-0.411096,484,506,494,503
676,1,-0.442719,498,480,513,495
677,4,2.466577,513,510,522,533
678,3,1.233288,504,512,531,492
679,4,1.992235,510,524,513,516
680,3,1.170043,512,523,506,496
681,2,-0.537587,504,494,478,507
682,1,-0.505964,491,488,505,500
683,4,1.676007,510,528,514,501
684,2,0.063246,503,510,496,493
685,4,2.782804,520,519,524,525
686,2,0.000000,496,494,509,501
687,1,-1.359779,482,480,487,508
688,2,0.569210,531,483,510,494
689,2,-0.000000,507,525,472,496
690,4,2.561445,523,528,511,519
691,1,-1.865744,489,468,502,482
692,4,1.106797,505,508,508,514
693,1,0.347851,500,497,514,500
694,3,1.264911,517,519,505,499
695,3,0.695701,500,502,510,510
696,4,1.707630,510,517,505,522
697,1,-0.474342,494,498,505,488
698,2,-0.379473,509,476,513,490
699,0,-0.758947,484,498,494,500
700,2,0.474342,518,490,523,484
701,3,1.391402,513,529,509,493
702,3,1.043552,517,510,499,507
703,0,-2.656313,480,463,477,496
704,4,1.423025,505,528,503,509
705,2,0.379473,509,489,498,516
706,1,-0.980306,475,500,488,506
707,3,0.474342,501,508,488,518
708,0,-1.359779,489,494,474,500
709,0,-2.181972,466,475,494,496
710,2,-0.917061,502,461,510,498
711,2,0.126491,512,500,509,483
712,4,2.751182,524,519,519,525
713,1,-0.790569,501,493,493,488
714,4,1.739253,524,510,509,512
715,4,1.644384,514,503,524,511
716,2,0.189737,499,499,502,506
717,1,-1.201666,480,484,502,496
718,0,-2.181972,496,471,486,478
719,3,1.960612,529,503,537,493
720,1,-1.106797,488,493,480,504
721,3,1.138420,520,489,523,504
722,4,2.150349,510,532,514,512
723,4,1.296534,513,508,516,504
724,1,-0.379473,493,499,512,484
725,1,0.031623,500,514,499,488
726,2,1.043552,487,495,531,520
727,0,-2.498199,475,479,480,487
728,3,1.138420,521,500,507,508
729,4,1.897367,511,524,504,521
730,1,-1.106797,492,483,507,483
731,1,-2.118726,464,485,482,502
732,2,0.664078,502,486,498,535
733,0,-1.170043,491,483,491,498
734,1,-1.581139,485,506,483,476
735,2,0.379473,520,507,497,488
736,0,-2.181972,477,484,488,482
737,4,1.233288,512,508,501,518
738,3,1.043552,495,519,502,517
739,4,3.415260,536,510,531,531
740,0,-1.454648,478,491,494,491
741,4,2.150349,501,520,529,518
742,2,-0.948683,518,506,466,480
743,2,0.442719,503,518,495,498
744,2,-0.379473,486,509,487,506
745,2,0.505964,510,492,494,520
746,1,-0.126491,496,515,487,498
747,4,1.834121,520,509,509,520
748,0,-3.573374,454,463,493,477
749,4,1.517893,504,520,511,513
750,0,-2.972541,476,489,466,475
751,3,-0.284605,517,508,459,507
752,1,-0.727324,496,492,507,482
753,4,3.320392,520,531,524,530
754,0,-2.087103,493,482,488,471
755,3,0.569210,508,508,510,492
756,0,-2.213594,493,479,472,486
757,3,2.023858,518,519,530,497
758,3,0.600833,492,503,511,513
759,0,-3.952847,477,457,477,464
760,2,0.031623,491,506,492,512
761,3,1.676007,510,530,495,518
762,4,1.423025,517,510,511,507
763,0,-1.517893,479,486,493,494
764,1,-1.581139,482,474,509,485
765,1,0.189737,489,497,500,520
766,3,2.434954,522,532,500,523
767,2,0.474342,488,496,516,515
768,3,0.695701,506,512,513,491
769,3,0.158114,492,502,503,508
770,3,0.252982,508,507,505,488
771,4,2.846050,503,544,502,541
772,1,0.411096,498,497,519,499
773,2,0.189737,497,484,502,523
774,0,-3.510128,459,481,474,475
775,3,1.075174,510,519,486,519
776,3,1.486271,500,518,508,521
777,4,1.739253,518,518,509,510
778,0,-1.865744,473,495,484,489
779,3,0.221359,502,483,511,511
780,4,2.118726,529,517,508,513
781,1,-0.316228,492,496,495,507
782,4,1.043552,515,507,508,503
783,0,-2.434954,492,471,467,493
784,3,0.189737,507,484,514,501
785,3,0.284605,482,512,506,509
786,4,1.549516,506,509,529,505
787,2,-0.252982,502,505,494,491
788,3,1.201666,497,504,522,515
789,3,1.201666,507,513,495,523
790,3,0.948683,516,493,509,512
791,4,2.656313,516,514,519,535
792,3,0.632456,512,504,493,511
793,1,-0.727324,492,483,495,507
794,2,-0.063246,499,505,507,487
795,4,1.802498,529,511,506,511
796,4,1.328157,505,516,511,510
797,3,0.758947,526,503,485,510
