trial,max_z_def_A,max_z_def_C
541,0.881944,1.012583
542,0.787620,1.661120
543,0.939025,0.886238
544,0.704048,-0.080362
545,2.245071,1.113653
546,2.000675,2.250730
547,0.487571,2.139402
548,0.704048,1.645086
549,1.222726,2.031533
550,1.722768,2.250730
551,1.937256,0.656452
552,0.746370,2.031533
553,2.173969,2.091713
554,1.527495,2.023314
555,1.222726,0.652873
556,2.245071,0.431407
557,0.864816,2.091713
558,0.555336,2.705560
559,2.173969,-0.332181
560,1.841934,1.846327
561,1.841934,1.568484
562,1.563508,1.372293
563,0.978530,0.658822
564,1.722768,1.150769
565,0.541162,1.661120
566,0.960913,1.888356
567,1.253013,2.376129
568,0.441032,0.270565
569,-0.781902,2.023314
570,1.319472,1.012583
571,0.036116,1.341068
572,0.006864,0.652873
573,1.128438,2.705560
574,0.487571,1.732003
575,1.937256,0.656452
576,1.510506,0.735086
577,1.293792,2.023314
578,1.390479,1.849738
579,1.527495,0.656452
580,2.350943,0.796956
581,0.555336,1.022270
582,1.390479,0.656452
583,0.650328,0.652873
584,0.864816,1.310966
585,0.939025,0.446029
586,0.487571,0.658822
587,0.200380,1.674274
588,0.614326,1.113653
589,0.555336,1.661120
590,1.563508,2.023314
591,0.704048,0.162136
592,0.221352,1.661120
593,2.293388,0.549879
594,1.079304,0.179465
595,0.939025,0.796956
596,1.480794,0.431407
597,1.508280,1.645086
598,1.801978,1.290706
599,1.801978,2.551593
600,1.510506,0.656452
601,0.960913,1.645086
602,1.527495,1.012583
603,0.939025,0.156184
604,2.347262,1.012583
605,2.173969,1.498811
606,1.222726,1.310966
607,1.841934,1.475913
608,0.541162,0.364672
609,2.076460,0.431407
610,1.253013,2.091713
611,0.435840,2.139402
612,1.510506,0.549879
613,1.480794,0.652873
614,1.904289,0.656452
615,0.650328,-0.332181
616,1.222726,0.796956
617,0.960913,1.661120
618,1.527495,1.795899
619,0.614326,0.652873
620,1.319472,2.025202
621,1.480794,1.475913
622,0.487571,0.203992
623,1.701540,0.431407
624,1.222726,2.451422
625,0.939025,2.250730
626,0.614326,0.652873
627,0.221352,2.401947
628,1.801978,2.200665
629,1.319472,0.656452
630,0.267739,0.886238
631,0.541162,2.478145
632,1.134207,0.203992
633,1.134207,1.888356
634,0.650328,2.091713
635,0.939025,1.147883
636,1.937256,1.150769
637,1.508280,1.846327
638,2.293388,0.162136
639,2.076460,1.599661
640,0.746370,1.498811
641,0.155083,-0.332181
642,0.541162,0.920293
643,2.847745,0.656452
644,1.222726,1.568484
645,2.585853,0.733575
646,1.722768,0.972420
647,2.899908,0.656452
648,1.390479,1.846327
649,0.864816,1.661120
650,1.904289,1.645086
651,1.904289,1.150769
652,0.881944,1.498811
653,1.222726,0.656452
654,1.527495,1.732003
655,1.841934,1.150769
656,2.076460,0.621492
657,0.429565,2.025202
658,1.079304,2.772361
659,0.094445,1.372293
660,1.654088,0.656452
661,3.038779,0.796956
662,2.366232,0.179465
663,2.347262,1.661120
664,1.390479,2.139402
665,0.881944,1.645086
666,1.841934,-0.023424
667,1.253013,1.310966
668,0.155083,0.656452
669,1.134207,1.732003
670,0.939025,2.139402
671,1.510506,1.888356
672,0.937404,1.888356
673,0.555336,1.022270
674,0.555336,2.401947
675,0.787620,1.645086
676,3.040437,1.846327
677,2.350943,1.150769
678,1.079304,1.795899
679,0.541162,0.735086
680,0.881944,2.754443
681,1.937256,2.031533
682,0.960913,1.105499
683,2.076460,1.888356
684,2.245071,1.568484
685,1.892575,2.031533
686,1.841934,1.022270
687,3.387024,0.733575
688,0.441032,1.323347
689,1.701540,1.372293
690,1.827381,1.849738
691,1.563508,2.633719
692,1.390479,3.779838
693,2.000675,0.364672
694,2.366232,1.022270
695,1.722768,0.293164
696,1.293792,1.105499
697,1.904289,1.674274
698,2.293388,1.475913
699,1.222726,0.364672
700,1.134207,0.364672
701,1.293792,1.150769
702,1.390479,0.162136
703,1.222726,1.372293
704,2.520556,1.012583
705,1.134207,0.656452
706,-0.140402,0.796956
707,0.221352,-0.023424
708,2.083609,1.372293
709,1.841934,2.705560
710,1.527495,0.444880
711,2.580720,1.795899
712,1.222726,1.372293
713,0.487571,1.732003
714,1.319472,-0.421207
715,1.134207,0.431407
716,2.151744,1.310966
717,1.508280,1.645086
718,0.746370,1.732003
719,0.787620,0.656452
720,1.892575,1.732003
721,1.801978,0.656452
722,0.036116,1.113653
723,2.580720,1.150769
724,1.390479,1.105499
725,0.978530,1.568484
726,1.508280,0.656452
727,1.801978,1.661120
728,1.307500,1.105499
729,2.000675,1.645086
730,1.128438,2.250730
731,1.480794,2.023314
732,1.222726,1.498811
733,0.864816,2.401947
734,2.795208,1.012583
735,1.293792,2.025202
736,0.939025,0.444880
737,0.704048,1.012583
738,1.841934,0.293164
739,1.892575,1.310966
740,0.200380,1.150769
741,0.939025,0.735086
742,2.625425,-0.005741
743,-0.078849,1.310966
744,3.420847,1.105499
745,1.480794,0.652873
746,1.293792,1.372293
747,1.904289,0.652873
748,1.319472,1.290706
749,1.253013,0.920293
750,0.704048,1.310966
751,1.527495,1.732003
752,0.200380,1.341068
753,1.827381,1.150769
754,1.222726,0.735086
755,1.307500,0.920293
756,1.563508,2.139402
757,1.654088,-0.332181
758,1.510506,2.216740
759,0.881944,0.095101
760,1.293792,0.656452
761,1.128438,1.372293
762,-0.393882,0.444880
763,1.937256,1.498811
764,1.563508,0.652873
765,1.527495,0.179465
766,1.293792,0.656452
767,1.801978,1.888356
768,1.722768,2.023314
769,1.654088,0.446029
770,1.937256,2.478145
771,0.746370,1.113653
772,1.654088,1.661120
773,1.508280,2.551593
774,1.841934,2.031533
775,0.435840,1.022270
776,0.441032,-0.023424
777,1.508280,1.475913
778,1.904289,1.888356
779,2.076460,1.150769
780,0.441032,1.341068
781,1.701540,0.203992
782,0.441032,1.341068
783,0.978530,1.888356
784,-0.207624,2.216740
785,2.000675,2.478145
786,1.319472,2.177052
787,0.541162,0.203992
788,0.787620,1.113653
789,1.390479,1.599661
790,2.076460,0.431407
791,1.701540,2.200665
792,0.864816,1.150769
793,2.580720,0.656452
794,0.939025,0.179465
795,0.960913,2.031533
796,0.746370,-0.250839
797,2.151744,-0.005741
798,0.704048,1.290706
799,0.094445,1.732003
800,1.128438,1.732003
801,0.937404,2.139402
802,1.827381,0.656452
803,0.487571,2.139402
804,0.614326,1.323347
805,2.744842,2.025202
806,1.253013,1.372293
807,1.701540,1.310966
808,2.625425,1.012583
809,0.881944,1.372293
810,0.939025,0.656452
811,0.960913,1.372293
812,1.128438,2.200665
813,1.892575,1.105499
814,1.563508,1.661120
815,1.527495,1.498811
816,2.520556,0.656452
817,1.319472,1.372293
818,-0.017766,0.733575
819,-0.078849,1.599661
820,2.656711,0.364672
821,2.076460,0.431407
822,1.701540,1.372293
823,0.541162,1.732003
824,2.245071,1.113653
825,0.864816,1.113653
826,1.128438,-0.080362
827,1.527495,1.372293
828,0.094445,2.465747
829,0.960913,2.139402
830,1.390479,2.216740
831,0.006864,1.323347
832,0.960913,0.652873
833,0.650328,1.012583
834,2.076460,1.012583
835,-0.208800,1.888356
836,0.864816,2.478145
837,0.704048,2.091713
838,2.083609,1.150769
839,0.978530,1.310966
840,0.939025,0.652873
841,1.841934,1.674274
842,1.827381,2.091713
843,0.429565,1.674274
844,1.892575,0.735086
845,0.960913,0.652873
846,1.827381,1.475913
847,1.134207,0.735086
848,1.563508,0.621492
849,2.293388,1.599661
850,2.625425,1.150769
851,0.441032,1.150769
852,0.704048,2.216740
853,1.307500,1.290706
854,0.881944,0.656452
855,1.293792,0.656452
856,1.892575,2.401947
857,1.390479,1.846327
858,0.746370,1.323347
859,1.827381,0.652873
860,0.200380,1.645086
861,3.448873,1.012583
862,1.222726,0.658822
863,1.134207,0.621492
864,1.827381,1.599661
865,1.508280,1.568484
866,1.527495,2.139402
867,1.390479,1.888356
868,0.487571,1.012583
869,2.151744,0.293164
870,2.076460,1.732003
871,1.390479,1.150769
872,1.319472,1.290706
873,2.656711,1.372293
874,1.841934,1.310966
875,0.881944,2.091713
876,1.563508,1.012583
877,1.722768,1.113653
878,0.881944,1.341068
879,1.390479,1.150769
880,2.293388,2.139402
881,1.510506,1.599661
882,0.364302,0.293164
883,1.563508,0.293164
884,0.155083,2.465747
885,1.801978,1.661120
886,1.508280,1.113653
887,0.939025,0.733575
888,1.293792,2.633719
889,1.841934,1.846327
890,1.563508,2.200665
891,1.841934,1.645086
892,2.293388,3.077984
893,0.487571,2.091713
894,2.293388,0.652873
895,1.841934,1.310966
896,1.293792,1.732003
897,0.704048,2.932976
898,1.128438,1.599661
899,1.563508,1.498811
900,2.899908,0.733575
901,1.563508,0.886238
902,1.563508,1.849738
903,-0.078849,1.599661
904,1.390479,0.156184
905,2.293388,1.846327
906,0.487571,2.025202
907,0.939025,2.811132
908,0.155083,0.920293
909,0.939025,1.599661
910,1.253013,2.091713
911,1.892575,0.652873
912,0.978530,-0.332181
913,1.527495,3.513188
914,0.881944,2.401947
915,2.083609,0.446029
916,1.904289,0.733575
917,0.704048,1.012583
918,1.222726,1.645086
919,0.939025,2.139402
920,1.527495,0.886238
921,0.704048,0.656452
922,1.293792,2.023314
923,1.892575,1.150769
924,1.841934,1.150769
925,0.939025,3.142774
926,1.701540,1.323347
927,0.864816,1.645086
928,2.520556,1.150769
929,2.151744,1.147883
930,0.541162,1.150769
931,1.508280,1.341068
932,1.293792,0.203992
933,1.722768,0.652873
934,2.245071,1.341068
935,0.881944,2.401947
936,1.904289,1.147883
937,0.864816,1.645086
938,0.614326,0.735086
939,0.364302,2.250730
940,1.722768,0.796956
941,1.390479,2.811132
942,0.614326,1.290706
943,1.390479,0.735086
944,1.508280,2.139402
945,0.441032,0.656452
946,1.510506,1.341068
947,0.960913,1.732003
948,1.937256,0.656452
949,0.435840,1.150769
950,0.939025,1.150769
951,1.937256,2.216740
952,1.293792,0.444880
953,0.435840,1.323347
954,2.293388,0.446029
955,0.939025,1.645086
956,0.555336,1.105499
957,0.978530,1.674274
958,1.222726,1.849738
959,1.892575,1.290706
960,0.937404,1.310966
961,-0.425436,0.293164
962,2.465677,0.735086
963,1.307500,1.645086
964,1.563508,1.849738
965,0.881944,1.012583
966,1.293792,1.849738
967,1.390479,0.920293
968,1.293792,1.150769
969,1.222726,0.621492
970,1.222726,1.341068
971,1.904289,1.372293
972,1.390479,1.498811
973,2.795208,2.633719
974,1.527495,2.754443
975,1.904289,0.179465
976,1.390479,1.150769
977,1.563508,0.886238
978,1.722768,1.150769
979,3.224184,0.293164
980,2.585853,-0.421207
981,2.350943,1.674274
982,1.390479,0.920293
983,2.465677,2.139402
984,2.151744,2.705560
985,1.701540,2.250730
986,1.527495,0.621492
987,1.390479,0.270565
988,1.827381,2.902520
989,0.937404,1.310966
990,1.134207,1.113653
991,0.650328,1.846327
992,1.508280,1.341068
993,1.293792,1.113653
994,2.151744,1.888356
995,1.390479,1.661120
996,2.580720,0.656452
997,1.508280,0.656452
998,2.076460,0.156184
999,1.319472,2.705560
